System	Ring	|Q2|	Q2zz
File: f2-6-31+Gstar.output	Ring 1: (C-9, C-12, C-13, C-15, C-18, C-19)	5.348367	-3.746234
	Ring 2: (C-1, C-5, C-8, C-9, C-12)	3.904718	-1.320590
	Ring 3: (C-5, C-8, C-29, C-31, C-33, C-36)	5.017511	-3.334255
	Ring 4: (C-10, C-11, C-14, C-16, C-17, C-20)	5.017704	-1.905335
	Ring 5: (C-2, C-6, C-7, C-10, C-11)	3.903807	-1.048558
	Ring 6: (C-6, C-7, C-30, C-32, C-34, C-35)	5.347963	-2.776206
	Ac	0.469924	0.467153
	A1	0.546872	0.470978
	A-1	0.614555	0.571410
	Bc	0.393530	0.387588
	B1	0.497951	0.446287
	B-1	0.456518	0.307680
	Cc	0.469016	0.466844
	C1	0.591009	0.540655
	C-1	0.613363	0.571531
	Dc	0.469017	0.296902
	D1	0.613375	0.316547
	D-1	0.591187	0.510436
	Ec	0.393532	0.244687
	E1	0.456604	0.346206
	E-1	0.498006	0.200295
	Fc	0.469924	0.302222
	F1	0.614544	0.365938
	F-1	0.547023	0.205296
	Total descriptors referred to origin	17.698250	-15.975961
